ID Alumno,Taller 1,Taller 2,Taller 3,Actividad en línea 1,Actividad en línea 2,Actividad en línea 3,Prueba 1,Prueba 2,Prueba 3,Nota Presentación,Nota Examen,Nota Final
160002278,7,7,6.5,6.6,4.6,4.4,4.8,3.2,3.3,4.4,4.6,4.5
160000534,7,7,7,3.6,5.6,3.4,4.6,7,2.7,5.4,4.8,5.2
160001967,6,7,7,6,6.6,2.8,6.2,6.4,3.7,5.5,6.2,5.8
160001195,6.1,7,5.4,6.6,5.4,3.9,4.6,4.4,3.5,5,3.4,4.4
160001118,7,7,6.5,7,7,5.8,4.6,6.7,6.4,6.7,6.2,6.5
160000085,6.5,7,5.6,5.4,4.2,3.5,5.4,6.1,6.1,5.7,6.5,6
160003671,7,7,7,6,2.3,3.1,4.8,4.2,2.1,4.2,4.4,4.3
160003407,7,7,7,5.8,4.5,2.1,5.7,5.8,1.8,4.7,5.3,4.9
160003608,4.8,4.8,6.2,5.2,2.3,1.3,5.5,3.9,3.3,4.1,4,4.1
160000611,6,6.5,7,3.3,3,2,5,5.2,5.4,5,5,5
160003475,6.8,7,7,4,3.7,3.8,5.2,2.5,1.9,3.8,3,3.5
160003665,7,7,7,6.2,4.6,3,5.5,5.7,3.8,5.2,4.8,5
160001065,6.1,7,6.8,6.6,6.2,3,6.3,6.8,4.5,5.9,6.1,6
160002534,6.5,7,5.8,6.6,5.8,2,5.9,6,4.4,5.5,4.3,5
160001525,3,7,4.8,4.8,2.6,2.4,5.4,5.3,1.1,3.9,3.5,3.7
160001459,7,6.5,5.5,6.2,4.3,2.2,4.6,3.6,1.1,3.7,5,4.2
160001090,5,3.5,7,3.6,4.3,3.3,4.6,4.9,4.6,5.1,4.6,4.9
160003458,6.8,7,7,6.2,6.9,4.3,5.2,4.8,2.2,4.7,4.6,4.7
160002884,7,6.8,6,3.8,1.4,1.4,6.3,3.7,4,4.5,5.7,5
160001273,6,7,5.8,6.2,6.9,6.2,4.6,6.8,6.3,6.6,6,6.4
